Ranking,Gestora,Score,VVs,Camas,Camas/VV,Islas,Municipios,Complejos,Concentracion,Score Complejos,Lat,Lon,Direccion Ejemplo,Map URL
91,"Sueño Azul",37,6,26,4.3,"Tenerife, Fuerteventura","Adeje, Tuineje","",85,0,28.156433,-16.084086,"Calle Isora  S/N",http://localhost:3000/installer/prospecting?lat=28.156433&lon=-16.084086&zoom=15
92,"Nostramo Sl",37,9,33,3.7,"Tenerife","Guia Isora, Adeje, Arona","",70,0,28.12363,-16.757003,"Calle Isla Gran Canaria 25",http://localhost:3000/installer/prospecting?lat=28.123630&lon=-16.757003&zoom=15
93,"Edificio Horizonte",37,6,16,2.7,"Tenerife, Lanzarote","Arona, Tias","",85,0,28.342424,-15.704989,"Calle Montaña 48",http://localhost:3000/installer/prospecting?lat=28.342424&lon=-15.704989&zoom=15
94,"Fredy Cruz",37,14,51,3.6,"Tenerife","Santa Cruz Tenerife, San Cristobal De La Laguna, Granadilla De Abona, Candelaria","",55,0,28.390185,-16.341984,"Prolongación Piñonero 5",http://localhost:3000/installer/prospecting?lat=28.390185&lon=-16.341984&zoom=15
95,"Vivienda Vacacional Carlomar",37,6,31,5.2,"Tenerife","Guia Isora, Santiago Del Teide","",85,0,28.224031,-16.828179,"Calle Virgen De La Candelaria 15",http://localhost:3000/installer/prospecting?lat=28.224031&lon=-16.828179&zoom=15
96,"Geab24, S.L.",37,6,15,2.5,"Tenerife","Arona, Adeje","",85,0,28.070579,-16.725129,"Urb. Américas  54   3 6",http://localhost:3000/installer/prospecting?lat=28.070579&lon=-16.725129&zoom=15
97,"Casa Del Sol",36,51,209,4.1,"Tenerife, Gran Canaria, La Gomera, Fuerteventura, Lanzarote","La Matanza De Acentejo, La Orotava, Arona, Las Palmas De Gran Canaria, Agaete, Mogan, Guia Isora, Arico, Candelaria, Adeje, Garachico, Los Realejos, San Bartolome De Tirajana, Santiago Del Teide, San Sebastian De La Gomera, Antigua, Pájara, La Oliva, Tuineje, Yaiza, Teguise, Tias, Haria","",0,0,28.332426,-15.141635,"C/ Acentejo, 72",http://localhost:3000/installer/prospecting?lat=28.332426&lon=-15.141635&zoom=15
98,"Flamingo",36,8,25,3.1,"Tenerife, Fuerteventura, Lanzarote","Arona, Pájara, Yaiza","",70,0,28.196887,-15.659894,"Avda. El Palm Mar 64   09 904",http://localhost:3000/installer/prospecting?lat=28.196887&lon=-15.659894&zoom=15
99,"Casa Del Mar",36,50,235,4.7,"Tenerife, Gran Canaria, La Palma, El Hierro, Fuerteventura, Lanzarote","Garachico, Arona, Agaete, Galdar, Arucas, Las Palmas De Gran Canaria, Aguimes, Mogan, Guia Isora, La Matanza De Acentejo, San Miguel De Abona, Tacoronte, Candelaria, Arico, Adeje, Los Silos, Tazacorte, Valverde, Antigua, La Oliva, Pájara, Arrecife, Teguise, Yaiza, San Bartolome, Tias, Haria","",0,0,28.48494,-14.919547,"C/ Esteban Ponce N 69",http://localhost:3000/installer/prospecting?lat=28.484940&lon=-14.919547&zoom=15
100,"Casa Simona",36,8,37,4.6,"Tenerife, Fuerteventura","Granadilla De Abona, Adeje, La Oliva","",70,0,28.465914,-15.013859,"Ctra Pista La Higueritas N 7 Pt B",http://localhost:3000/installer/prospecting?lat=28.465914&lon=-15.013859&zoom=15
101,"Los Arcos",36,8,29,3.6,"Gran Canaria, Lanzarote","San Bartolome De Tirajana, Yaiza, Tias","",70,0,28.04821,-15.099061,"Avda.Estados Unidos 60",http://localhost:3000/installer/prospecting?lat=28.048210&lon=-15.099061&zoom=15
102,"Finca La Paz",36,8,27,3.4,"Tenerife","Adeje, San Miguel De Abona, La Guancha","",70,0,28.101142,-16.631847,"Cl Gasparianes  13",http://localhost:3000/installer/prospecting?lat=28.101142&lon=-16.631847&zoom=15
103,"Adasun 1981, S.L.",36,5,32,6.4,"Lanzarote","Tias, Arrecife","",85,0,28.954438,-13.573168,"C/Guacimeta 8",http://localhost:3000/installer/prospecting?lat=28.954438&lon=-13.573168&zoom=15
104,"Mencey",35,5,18,3.6,"Tenerife","Santa Cruz Tenerife, Granadilla De Abona","",85,0,28.368351,-16.323506,"C/ Pintor Jose Aguiar, 2, Bajo, Piso 3",http://localhost:3000/installer/prospecting?lat=28.368351&lon=-16.323506&zoom=15
105,"Playa Chica",35,11,35,3.2,"Tenerife, Gran Canaria, Lanzarote","Santa Cruz Tenerife, Las Palmas De Gran Canaria, Arico, Tias","",55,0,28.412262,-15.499043,"Urbanizacion Las Gaviotas, Nº 1, Piso 5º, Vda. 501 1",http://localhost:3000/installer/prospecting?lat=28.412262&lon=-15.499043&zoom=15
106,"San Francisco",35,5,25,5,"Tenerife, La Palma","Santa Cruz Tenerife, Santa Cruz De La Palma","",85,0,28.54325,-16.752798,"Calle San Francisco Nº67 Escalera A Piso 4 Puerta B",http://localhost:3000/installer/prospecting?lat=28.543250&lon=-16.752798&zoom=15
107,"Casa Maria",35,46,176,3.8,"Tenerife, Gran Canaria, La Palma, La Gomera, Fuerteventura, Lanzarote","Icod De Los Vinos, San Bartolome De Tirajana, Adeje, Tazacorte, Los Llanos De Aridane, Hermigua, Tejeda, Mogan, Ingenio, Valsequillo De Gran Canaria, Telde, La Oliva, Antigua, Tuineje, Pájara, Puerto Del Rosario, Tinajo, Arrecife, Yaiza, Tias, Teguise","",0,0,28.704715,-14.489583,"Calle La Palmita, 11",http://localhost:3000/installer/prospecting?lat=28.704715&lon=-14.489583&zoom=15
108,"Casa Azul",35,44,181,4.1,"Tenerife, Gran Canaria, La Palma, La Gomera, Fuerteventura, Lanzarote","Guia Isora, Mogan, Puerto De La Cruz, Icod De Los Vinos, San Miguel De Abona, Garachico, Santa Cruz Tenerife, Arico, Arona, San Cristobal De La Laguna, Los Llanos De Aridane, Tazacorte, El Paso, Fuencaliente De La Palma, Vallehermoso, Vega San Mateo, Telde, San Bartolome De Tirajana, La Oliva, Puerto Del Rosario, Antigua, Haria, Tinajo, Yaiza, Teguise, Arrecife, Tias, San Bartolome","",0,0,28.56444,-15.116554,"C/ Barranquillo Nº 18, Piso 3e",http://localhost:3000/installer/prospecting?lat=28.564440&lon=-15.116554&zoom=15
109,"Faro",35,5,21,4.2,"Gran Canaria, Fuerteventura","Las Palmas De Gran Canaria, Pájara","",85,0,28.151239,-15.19034,"Faro 105 3º, Pta. 33",http://localhost:3000/installer/prospecting?lat=28.151239&lon=-15.190340&zoom=15
110,"Flamboyan",35,7,25,3.6,"Gran Canaria, Fuerteventura","San Bartolome De Tirajana, Telde, La Oliva","",70,0,28.167223,-14.935182,"Mar Caspio 2    175",http://localhost:3000/installer/prospecting?lat=28.167223&lon=-14.935182&zoom=15
111,"Sunset Apartment",35,5,14,2.8,"Gran Canaria, Tenerife","San Bartolome De Tirajana, Santiago Del Teide","",85,0,28.044511,-16.341385,"Calle Einstein 17",http://localhost:3000/installer/prospecting?lat=28.044511&lon=-16.341385&zoom=15
112,"Palo Blanco",35,5,23,4.6,"Tenerife, Lanzarote","Adeje, Teguise","",85,0,28.328099,-15.919259,"Avenida España 2",http://localhost:3000/installer/prospecting?lat=28.328099&lon=-15.919259&zoom=15
113,"Las Terrazas",35,25,83,3.3,"Tenerife","Adeje, Santa Cruz Tenerife, Icod De Los Vinos, Guia Isora, Arona, Granadilla De Abona","",25,0,28.281254,-16.72791,"Calle Las Terrazas 3",http://localhost:3000/installer/prospecting?lat=28.281254&lon=-16.727910&zoom=15
114,"Pleamar",35,5,15,3,"Gran Canaria, Lanzarote","Mogan, Tias","",85,0,28.631033,-14.156972,"Calle Tomas Morales 18",http://localhost:3000/installer/prospecting?lat=28.631033&lon=-14.156972&zoom=15
115,"Casa Volcan",35,7,38,5.4,"Fuerteventura, Lanzarote","La Oliva, Yaiza, Teguise","",70,0,28.824701,-13.805459,"Volcán 8",http://localhost:3000/installer/prospecting?lat=28.824701&lon=-13.805459&zoom=15
116,"Manuel",35,5,14,2.8,"Lanzarote","Teguise, Yaiza","",85,0,29.160099,-13.568977,"Calle Margarona",http://localhost:3000/installer/prospecting?lat=29.160099&lon=-13.568977&zoom=15
117,"3 Ballenas Tenerife, Sl",35,5,15,3,"Tenerife","San Miguel De Abona, Arona","",85,0,28.012183,-16.664652,"C/ Fuerteventura",http://localhost:3000/installer/prospecting?lat=28.012183&lon=-16.664652&zoom=15
118,"Vista Mar",34,42,173,4.1,"Tenerife, Gran Canaria, La Palma, El Hierro, Fuerteventura, Lanzarote","Granadilla De Abona, Las Palmas De Gran Canaria, Telde, Guimar, Icod De Los Vinos, Arona, La Matanza De Acentejo, Mogan, Candelaria, Santiago Del Teide, Tacoronte, Adeje, La Guancha, Tijarafe, Frontera, San Bartolome De Tirajana, Pájara, La Oliva, Tias, Yaiza, Teguise, San Miguel De Abona","",0,0,28.462389,-15.281398,"Avda. Mar Adriatico Resd. Los Martinez",http://localhost:3000/installer/prospecting?lat=28.462389&lon=-15.281398&zoom=15
119,"Anna",34,10,42,4.2,"Gran Canaria, Tenerife, Fuerteventura, Lanzarote","Santa Lucia De Tirajana, Adeje, La Oliva, Yaiza","",55,0,28.142821,-14.978055,"Tasartico 043 3º B",http://localhost:3000/installer/prospecting?lat=28.142821&lon=-14.978055&zoom=15
120,"Casa Luna",34,39,177,4.5,"Gran Canaria, Tenerife, La Palma, La Gomera, Fuerteventura, Lanzarote","Aguimes, Las Palmas De Gran Canaria, San Bartolome De Tirajana, La Orotava, San Miguel De Abona, Icod De Los Vinos, Vilaflor De Chasna, Arona, Breña Baja, Valle Gran Rey, Hermigua, Mogan, Puerto Del Rosario, La Oliva, Pájara, Tuineje, Teguise, Yaiza, Tias, Arrecife, San Bartolome, Tinajo, Guia Isora","",0,0,28.551471,-14.706708,"Fernando González 002 Esq. C/ Juan Alvarado Y Saz",http://localhost:3000/installer/prospecting?lat=28.551471&lon=-14.706708&zoom=15
121,"Casa Rosa",33,36,157,4.4,"Tenerife, Gran Canaria, La Palma, El Hierro, Fuerteventura, Lanzarote","San Miguel De Abona, Arona, Vega San Mateo, Arico, Los Silos, Adeje, Santiago Del Teide, Tijarafe, Los Llanos De Aridane, Valverde, Mogan, San Bartolome De Tirajana, La Oliva, Puerto Del Rosario, Antigua, Yaiza, Teguise, Arrecife, Haria, Tias, Santa Ursula","",0,0,28.415825,-15.33755,"Las Morales 10",http://localhost:3000/installer/prospecting?lat=28.415825&lon=-15.337550&zoom=15
122,"Arco Iris",33,6,28,4.7,"Tenerife, Lanzarote","Adeje, Tias, Haria","",70,0,28.472072,-15.478751,"Av. Juan Carlos I, 39, Bloque K, Piso 3º, Puerta 2",http://localhost:3000/installer/prospecting?lat=28.472072&lon=-15.478751&zoom=15
123,"Bajamar",33,6,19,3.2,"Tenerife, Gran Canaria","San Cristobal De La Laguna, Arucas, Mogan","",70,0,28.311838,-16.054522,"C/. Montalmar, 31, Esc. 1, Piso 01, Pta. 15",http://localhost:3000/installer/prospecting?lat=28.311838&lon=-16.054522&zoom=15
124,"Las Nasas",33,6,25,4.2,"Gran Canaria, Fuerteventura","Aguimes, San Bartolome De Tirajana, La Oliva","",70,0,27.813398,-15.471629,"C/ Las Nasas,Nº 23, Bajo 35118    , Playa De Arinaga, Aguimes, Gran Canaria",http://localhost:3000/installer/prospecting?lat=27.813398&lon=-15.471629&zoom=15
125,"Vvcanarias",33,6,21,3.5,"Gran Canaria, Fuerteventura, Lanzarote","Santa Lucia De Tirajana, Pájara, Arrecife","",70,0,28.252234,-14.317141,"Avenida De Canarias 241   2 14",http://localhost:3000/installer/prospecting?lat=28.252234&lon=-14.317141&zoom=15
126,"Villamar",33,6,23,3.8,"Tenerife, Fuerteventura, Lanzarote","Adeje, La Oliva, Arrecife","",70,0,28.183966,-16.168234,"Avenida De Los Pueblos  25",http://localhost:3000/installer/prospecting?lat=28.183966&lon=-16.168234&zoom=15
127,"Green Oasis",33,6,25,4.2,"Tenerife, Fuerteventura","San Miguel De Abona, Pájara, La Oliva","",70,0,28.205731,-15.117376,"Av. J. M . Galvan Bello S/N Cid",http://localhost:3000/installer/prospecting?lat=28.205731&lon=-15.117376&zoom=15
